General_ID,Piattaforma,User,Lavoro,Settore,Utilizzo_software,ValutazioneComplessiva,Facilita_d_uso,Caratteristiche_funzionalita,Assistenza_Clienti,Rapporto_Qualita_prezzo,Consigliato,titoloReview,Data_Recensione,Commenti,Vantaggi,Svantaggi
2450 Go_To_Meeting,Go_To_Meeting,Bernard G.,Cloud Consultant,Telecomunicazioni,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,5 /5,10/10,Excellent collaboration software most similar to Webex,23/7/2020,This is a perfect solution for collaboration sessions with many attendees.,This is a fully featured application that includes the ability to survey the audience and generate rich reports.,Gotomeeting is not advancing in new capabilities compared to Zoom and others. They used to be far more unique
2451 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Digital Marketing Associate,Produzione di apparecchi elettrici/elettronici,Più di 2 anni,3 /5,4 /5,4 /5,3 /5,4 /5,5/10,Great Product Until Email Confirmations Were Blacklisted,23/8/2018,"Easy to use. Copying previous meetings made it simple to set up meetings. Allows for registration customization, and offers quick and easy to read reporting. Overall functionality is a plus.","Several months ago, we hosted a webinar and had much lower attendance than usual. At the start of the webinars we were getting many emails with questions as to what the link was to launch the webinar. Registrants were not receiving the confirmation emails with the link to access the webinar. After many hours on the phone with GoToMeeting tech support that assured us there was nothing wrong, our IT team discovered that GoToMeeting's addresses were being blacklisted by ISPs. They continued to insist that there was nothing wrong but since our customers were receiving our invitation and were not receiving the confirmation that comes direct from a GoToWebinar addess, we ultimately had to cancel our subscription.",Gotomeeting is not advancing in new capabilities compared to Zoom and others. They used to be far more unique
2452 Go_To_Meeting,Go_To_Meeting,Rhonda P.,Supervisor,Telecomunicazioni,Più di 2 anni,5 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,8/10,GoToMeeting,11/12/2019,It was wonderful for presenting information to existing employees and having the opportunity to introduce new employees and show them both our company structure and the information that was needed to get them up and going!,"Simple directions to give to all staff invited to the meeting! Everyone was able to join seamlessly, is important when working with employees at all different levels that need to be included in our meetings.","There seemed to be a bit of delay, a type of a latency that could have been due to one or more of the members internet connection but was not able to identify one exact reason for it to affect some and not others using the same type of connection."
2453 Go_To_Meeting,Go_To_Meeting,Pamela L.,Career Counsellor,Servizi alla persona e alla famiglia,Più di 2 anni,4 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,7/10,Go to Meeting,14/1/2020,Being able to attend webinars really helps with my professional development.,It allows the user to attend a meeting remotely and to participate in the meeting by being able to ask questions.,When I have changed devices I have had to set up again. The last time I had to do this it was a little clunky and awkward - this could be improved.
2454 Go_To_Meeting,Go_To_Meeting,Lindsey L.,HR/Marketing Assistant,Studi medici,Più di 1 anno,5 /5,5 /5,4 /5,5 /5,5 /5,10/10,Amazing!,9/8/2019,GoToMeeting allows me to easily communicate with people from other corporations. We use it mostly for orientation for new hires that aren't close to our office. It helps us save travel time this way.,"I love GotoMeeting! It's so easy to maneuver, simple to access, and a lot of fun. It makes contacting business partners and other companies super simple. I would recommend it to anyone.","It sometimes takes a bit of time to load but once it's up and running, it's super slick."
2455 Go_To_Meeting,Go_To_Meeting,Karen E.,Administrator,Produzione di media,Più di 1 anno,5 /5,5 /5,4 /5,5 /5,4 /5,10/10,Go To Meeting should be a Go To choice,3/12/2019,"Crystal clear audio, great video (which is our wheelhouse) makes a very capable and an always sophisticated meeting experience.",I cut my teeth on Go To Meeting so had always felt itâ€™s the best. But it costs to get the best. Try the 14-day free trial and you will see what I mean. And the mobile meeting capability has really brought it forward.,"They lagged by charging for what seems everything. So other cheaper, and more integrated products have pushed my business crowd away from my favorite."
2456 Go_To_Meeting,Go_To_Meeting,Utente Verificato,Sr Software Engineer,E-learning,Più di 2 anni,4 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,8/10,Good Software for Online Training,3/12/2019,"I would strongly suggest to one in corporate life for ""Go To Meeting"" for their Internal and External meetings.","I use this software to conduct online training's and the Best feature of Go to meeting where other software lack is quality of service they provide and I Never faced any issue with audio, video or screen sharing.The UI/Controls available on software are very user-friendly and options to record and share the screen is really awesome.","I have no issues with the software, its interface is stable and if anyone have issues with image quality it might be because their network connection but nothing to do with the software in such cases."
2457 Go_To_Meeting,Go_To_Meeting,Chris G.,General Manager,Macchinari,Più di 2 anni,5 /5,5 /5,4 /5,1 /5,4 /5,6/10,GoToMeeting,11/12/2019,Like using the software but the customer support seems extremely poor,GoToMeeitng is easy to use and I like the functionality and layout,"Can't get copies of my invoices for my company card statement. The system has been down for over a month.
All of the telephone numbers provided for help don't work"
2458 Go_To_Meeting,Go_To_Meeting,Utente Verificato,chefe de equipa,,Più di 1 anno,4 /5,5 /5,4 /5,3 /5,3 /5,8/10,One of our software election when working remotely to schedule our meetings.,28/3/2018,Good software to let me do meetings with the team remotely,It is really easy to use in webbrowser or stand-alone application both ways work extremely well. The feature to automatically put the link on our gmail appointments is extremely helpful.,Sometimes it has been fewer times hopefully we have to restart the meeting because of a poor connection and the sound is cut. But this is a problem like I said before that it is happening with less frequency now.
2459 Go_To_Meeting,Go_To_Meeting,Denis M.,Digital Marketing Manager,Salute,Più di 2 anni,5 /5,5 /5,4 /5,4 /5,4 /5,8/10,Good for online meetings,31/10/2019,I would describe my experience as a positive one because it really helps me to run webinars online.,"It has a lot of useful features - like video recording, slides sharing, polls, mute/unmute participants.","I find that this software has 2 major cons. First, pricing which is not the cheapest and second is it's heavy in terms of installation."
2460 Go_To_Meeting,Go_To_Meeting,Bridget J.,Associate Director of Admissions,Gestione formativa,Più di 2 anni,4 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,8/10,Good experience. I've rarely had to refer to documentation (intuitive functionality/interfaces).,2/7/2018,"Easy to use from admin side; also good experiences as attendee for meetings/webinars run by others using GoToMeeting. From audience perspective for Webinars, I can say that the Android app also works well.",I have no cons to report. It's a fairly straight-forward platform that meets my online meeting/webinar needs well.,"I find that this software has 2 major cons. First, pricing which is not the cheapest and second is it's heavy in terms of installation."
2461 Go_To_Meeting,Go_To_Meeting,Kimberly G.,Supervisor,Dispositivi medici,Più di 2 anni,4 /5,5 /5,4 /5,Nessuna recensione,4 /5,8/10,GoToMeeting Review,4/10/2018,This program helps out when our home office has meetings with out of state employees and customers.,"I like the GoToMeeting software for several reasons. Set up is easy, connecting is a breeze, and options are available to meet all your needs.",We have yet to experience any problems are difficulties
2462 Go_To_Meeting,Go_To_Meeting,Chasity M.,Owner,,Più di 2 anni,5 /5,5 /5,4 /5,5 /5,5 /5,9/10,My Go-to platform for meetings,10/5/2018,"My school uses this platform for meetings and also a number of classes I have offered, I utilized Go-to Meeting. Easy to setup and not as many interruptions like other platforms",I really have no complaints. The disconnections have been minimal and I appreciate the ease of connecting.,We have yet to experience any problems are difficulties
2463 Go_To_Meeting,Go_To_Meeting,Yuval P.,Senior Product Owner,Servizi finanziari,Più di 2 anni,5 /5,5 /5,4 /5,Nessuna recensione,Nessuna recensione,7/10,Prety good for large conferences,30/8/2019,Easy to use. Easy to add participants to a call. Would love a simpler experience.,Usually stable and provides good quality audio and video. Relatively easy to setup a concall and add participants.,Too many software options. Best if I did not need to install anything and just run within a browser.
